player,team,position,age,games,minutes,goals,pens_made,assists,xg,npxg,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,xg_per90,npxg_per90,pens_att,assists,progressive_passes,progressive_carries,progressive_passes_received
Aaron Cresswell,West Ham,"DF,FW",33,11,436,0,0,0,0.0,0.0,4,26,0.00,0.00,0.00,0.00,0.00,0,0,26,4,6
Aaron Hickey,Brentford,DF,21,9,713,0,0,0,0.2,0.2,9,21,0.00,0.00,0.00,0.03,0.03,0,0,21,9,13
Aaron Ramsdale,Arsenal,GK,25,6,540,0,0,0,0.0,0.0,0,2,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0
Aaron Ramsey,Burnley,"MF,FW",20,14,527,0,0,0,0.3,0.3,8,8,0.00,0.00,0.00,0.06,0.06,0,0,8,8,17
Aaron Wan-Bissaka,Manchester Utd,DF,25,22,"1,780",0,0,2,0.1,0.1,30,77,0.00,0.10,0.10,0.01,0.01,0,2,77,30,54
Abdoulaye Doucouré,Everton,"FW,MF",30,32,"2,629",7,0,1,8.8,8.8,55,97,0.24,0.03,0.27,0.30,0.30,0,1,97,55,140
Adam Lallana,Brighton,"MF,FW",35,25,850,0,0,1,0.8,0.8,9,39,0.00,0.11,0.11,0.09,0.09,0,1,39,9,55
Adam Smith,Bournemouth,DF,32,28,"2,150",0,0,2,0.1,0.1,24,89,0.00,0.08,0.08,0.00,0.00,0,2,89,24,28
Adam Webster,Brighton,DF,28,15,"1,144",0,0,0,0.4,0.4,16,80,0.00,0.00,0.00,0.03,0.03,0,0,80,16,2
Adam Wharton,Crystal Palace,MF,19,16,"1,297",0,0,3,0.3,0.3,14,79,0.00,0.21,0.21,0.02,0.02,0,3,79,14,10
Adama Traoré,Fulham,"FW,MF",27,17,377,2,0,3,1.5,1.5,29,16,0.48,0.72,1.19,0.36,0.36,0,3,16,29,48
Albert Sambi Lokonga,Luton Town,MF,23,17,"1,303",1,0,3,0.6,0.6,29,72,0.07,0.21,0.28,0.04,0.04,0,3,72,29,13
Alejandro Garnacho,Manchester Utd,FW,19,36,"2,565",7,0,4,8.4,8.3,178,62,0.25,0.14,0.39,0.29,0.29,0,4,62,178,281
Alex Iwobi,Everton,MF,27,2,140,0,0,0,0.3,0.3,6,4,0.00,0.00,0.00,0.21,0.21,0,0,4,6,8
Alex Iwobi,Fulham,"FW,MF",27,30,"2,192",5,0,2,5.3,5.3,109,147,0.21,0.08,0.29,0.22,0.22,0,2,147,109,175
Alex Scott,Bournemouth,MF,19,23,"1,014",1,0,1,0.7,0.7,24,50,0.09,0.09,0.18,0.06,0.06,0,1,50,24,35
Alexander Isak,Newcastle Utd,FW,23,30,"2,255",21,5,2,20.3,15.6,68,71,0.84,0.08,0.92,0.81,0.62,6,2,71,68,129
Alexis Mac Allister,Liverpool,MF,24,33,"2,599",5,1,5,3.7,2.9,44,209,0.17,0.17,0.35,0.13,0.10,1,5,209,44,48
Alfie Doughty,Luton Town,DF,23,37,"2,925",2,0,8,1.3,1.3,94,106,0.06,0.25,0.31,0.04,0.04,0,8,106,94,164
